time, bid price, ask price, bid quantity, ask quantity, spread,
Mon Feb 10 23:19:41 2020, 9845.5, 9846.0, 1808030.0, 3275791.0, 0.5 USD,
Mon Feb 10 23:19:43 2020, 9845.5, 9846.0, 1831030.0, 3280503.0, 0.5 USD,
Mon Feb 10 23:19:45 2020, 9845.5, 9846.0, 1831031.0, 3288948.0, 0.5 USD,
Mon Feb 10 23:19:47 2020, 9845.5, 9846.0, 1831031.0, 3236979.0, 0.5 USD,
Mon Feb 10 23:19:49 2020, 9845.5, 9846.0, 1828879.0, 3250182.0, 0.5 USD,
Mon Feb 10 23:19:52 2020, 9845.5, 9846.0, 1828884.0, 3220795.0, 0.5 USD,
Mon Feb 10 23:19:54 2020, 9845.5, 9846.0, 1825540.0, 3246736.0, 0.5 USD,
Mon Feb 10 23:19:56 2020, 9845.5, 9846.0, 1827543.0, 3241579.0, 0.5 USD,
Mon Feb 10 23:19:58 2020, 9845.5, 9846.0, 1807542.0, 3248050.0, 0.5 USD,
Mon Feb 10 23:20:00 2020, 9845.5, 9846.0, 1807542.0, 3208070.0, 0.5 USD,
Mon Feb 10 23:20:02 2020, 9845.5, 9846.0, 2682429.0, 628351.0, 0.5 USD,
Mon Feb 10 23:20:04 2020, 9845.5, 9846.0, 2748688.0, 505415.0, 0.5 USD,
Mon Feb 10 23:20:06 2020, 9845.5, 9846.0, 2876189.0, 489982.0, 0.5 USD,
Mon Feb 10 23:20:08 2020, 9845.5, 9846.0, 1870188.0, 509400.0, 0.5 USD,
Mon Feb 10 23:20:10 2020, 9845.5, 9846.0, 1732188.0, 514407.0, 0.5 USD,
Mon Feb 10 23:20:12 2020, 9850.5, 9851.0, 914322.0, 1533406.0, 0.5 USD,
Mon Feb 10 23:20:14 2020, 9850.5, 9851.0, 1253724.0, 1238700.0, 0.5 USD,
Mon Feb 10 23:20:16 2020, 9850.5, 9851.0, 1170662.0, 1224413.0, 0.5 USD,
Mon Feb 10 23:20:18 2020, 9850.5, 9851.0, 656281.0, 1081424.0, 0.5 USD,
Mon Feb 10 23:20:20 2020, 9850.5, 9851.0, 656735.0, 1079382.0, 0.5 USD,
Mon Feb 10 23:20:22 2020, 9850.5, 9851.0, 658060.0, 1109806.0, 0.5 USD,
